Pricelist,Vendor,Category,Product,Package Name,Inventory,Item Unit,Charge Unit,# of Items,Purchase Price,Retail Price,Margin,Markup
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Bulk Farm Made Chorizo Sausage,12 oz,product,pk,pk,1,10.72,14.79,28,38
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Bulk Lamb Merguez Sausage,12 oz,product,ea,ea,1,11.05,15.25,28,38
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Bulk Thai Curry Sausage,12 oz,product,ea,ea,1,10.72,14.79,28,38
herdshare,Deck Family Farm,Pasture-raised Poultry,"CRX Roaster, Large","Large, 4.21 - 4.99 lbs",product,ea,ea,1,28.4,39.19,28,38
herdshare,Deck Family Farm,Pasture-raised Poultry,"CRX Roaster, Medium","Medium, 3.20 - 4.20 lbs",product,ea,ea,1,24.05,33.19,28,38
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Cajun Chaurice Sausage Links,4 links/ pack 14 oz pack,product,pk,pk,1,13,17.94,28,38
herdshare,Camas Country Mill,Dry Goods,Camas Pizza Blend,4 lbs,product,ea,ea,1,10.3,13.7,25,33
herdshare,Red Tail Growers,Organic Vegetables - Broccoli/Cauliflower/Cabbage,Cauliflower,ea,product,ea,ea,1,6,7.98,25,33
herdshare,Reality Kitchen Nonprofit,Dry Goods,Challah Sandwich Loaf,each,product,ea,ea,1,6,7.98,25,33
herdshare,Deck Family Farm,Pasture-raised Poultry,"Chicken Feet, 1lb bag",1 lb bag,product,ea,ea,1,6.17,8.51,27,38
herdshare,Deck Family Farm,Pasture-raised Poultry,Chicken Hearts,1/2 lb bag,product,pk,pk,1,6.17,8.51,27,38
herdshare,Deck Family Farm,Pasture-raised Poultry,Chicken Liver,1/2 lb bag,product,ea,ea,1,7.8,10.76,28,38
herdshare,Deck Family Farm,Pasture-raised Poultry,"Chicken Part, Breast, Bone-In",1.00 - 2.00 lbs,product,ea,ea,1,17.55,24.22,28,38
herdshare,Deck Family Farm,Pasture-raised Poultry,"Chicken Part, Hindquarter",1.00 - 1.50 lbs,product,ea,ea,1,12.59,17.37,28,38
herdshare,Deck Family Farm,Pasture-raised Poultry,"Chicken Part, Wings",1.50 - 2.00,product,ea,ea,1,13.65,18.84,28,38
herdshare,Elegant Elephant Baking Co.,Dry Goods,Chocolate Donut,each,product,ea,ea,1,2.35,3.5,33,49
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Chorizo Verde,4 links/ pack 14 oz pack,product,pk,pk,1,13,17.94,28,38
herdshare,Deck Family Farm,Grass-fed Beef,Chuck roast,2.30 - 2.90 lbs,product,ea,ea,1,27.04,37.32,28,38
herdshare,Graziers Garden,Organic Vegetables - Herbs,Cilantro,bu,product,bu,bu,1,2,2.66,25,33
herdshare,Camas Swale Farm,Organic Vegetables - Leafy Greens,Collard Greens,each,product,bu,bu,1,2,2.68,25,34
herdshare,River Ranch Oregon Olive OIl,Home Goods,Colliding Rivers Olive Oil Sugar Scrub,ea 4 oz jar,product,ea,ea,1,5,6.7,25,34
herdshare,Deck Family Farm,Sausages & Cured Meats,"Country Sausage, Bulk",12 oz,product,ea,ea,1,10.08,13.91,28,38
herdshare,Creole Me Up,Dry Goods,Creole Masala Spice Blend,3 oz jar,product,ea,ea,1,6.85,9.11,25,33
herdshare,OGC,Organic Vegetables - Mushrooms,Crimini Mushrooms,1 lb,product,lb,lb,1,3.95,5.25,25,33
herdshare,Elegant Elephant Baking Co.,Dry Goods,Croutons,each,product,ea,ea,1,5.25,8.4,38,60
herdshare,Small is Beautiful Farm,Home Goods,Cut Flower Bouquet,each,product,ea,ea,1,10,13.3,25,33
herdshare,RL Plants,Home Goods,Dark Purple Iris Rhizome,each,product,ea,ea,1,5,6.65,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hat,ea,product,ea,ea,1,13,17.29,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Extra-Large,ea,product,ea,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Large,ea,product,ea,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Medium,ea,product,ea,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Small,ea,product,ea,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt  Extra-Large,ea,product,ea,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Extra Small,ea,product,ea,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Large,ea,product,ea,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Medium,ea,product,ea,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Small,ea,product,ea,ea,1,17,22.61,25,33
herdshare,Camas Swale Farm,Organic Vegetables - Herbs,Dill,each,product,bu,bu,1,2,2.68,25,34
herdshare,Sweet Creek,Dry Goods,Dill Relish,12.6 oz,product,ea,ea,1,4,5.32,25,33
herdshare,Little Wings,Organic Vegetables - Leafy Greens,Dino Lacinato Kale,bu,product,bu,bu,1,2.25,2.99,25,33
herdshare,River Ranch Oregon Olive OIl,Dry Goods,Dry Herb Mix,ea 1 ounce jar,product,ea,ea,1,7,9,22,29
herdshare,Lonesome Whistle,Dry Goods,Emmer Farro,1.25 lb Bag,product,ea,ea,1,4,5.36,25,34
